id,account,cost_center,title,unit
1,436000,"","LIBRARY:COLL DEVELOP-ORAL HISTORY",1
2,436000,BF,"LIBRARY:COLL DEV-ORAL HSTR/BUS FORECAST",1
3,436000,CH,"LIB:COLL DEV-ORAL HIST/CHINESE HIST-LA",1
4,436000,EN,"LIBRARY:COLL DEV-ORAL HSTR/ENTREPRENEUR",1
5,436000,GR,"LIBRARY:COLL DEV-ORAL HIST/GRAD RESEARCH",1
6,436000,LW,"LIBRARY:COLL DEV-ORAL HISTORY/LAW PROJ",1
7,436000,NP,"LIBRARY:COLL DEV-ORAL HISTORY/NPI PROJ",1
8,436000,OH,"LIBRARY:COLL DEV/ORAL HIST/ORAL HIST CTR",1
9,436000,RH,"LIBRARY:COLL DEV/ORAL HIST/ORAL HIST PRG",1
10,600001,"","LIBRARY:ADM SVC-ADMIN SERVICES",2
11,600001,AD,"LIBRARY:ADM SVC-ADMIN SERV/ADMINISTRATIV",2
12,600001,AF,"LIBRARY:ADM SVC-ADMIN SERV/ADMIN OFF",2
13,600001,AR,"LIBRARY:ADM SVC-ADMIN SERV/ACAD RECRUIT",2
14,600001,AT,"LIBRARY:ADM SVC-ADMIN SERV/ADMIN TRAVEL",2
15,600001,BT,"LIBRARY:ADM SVC-ADM SVC/BUSINESS TRAVEL",2
16,600001,CF,"LIBRARY:ADM SVC-SUPPORT/UNI-LIBRARIAN",2
17,600001,CO,"LIBRARY:ADM SVC-ADMIN SERV/COMMUNICATION",3
18,600001,CR,"LIBRARY:ADM SVC-ADM SVC/CONFERENCE ROOM",2
19,600001,DE,"LIBRARY:ADM SVC-ADMIN SERV/DEVELOPMENT",2
20,600001,DL,"LIBRARY:ADM SVC-ADM SERV/DIGITAL LIBRARY",2
21,600001,DV,"LIBRARY:ADM SVC-ADMIN SERVICES/DIVERSITY",2
22,600001,EH,"LIBRARY:ADM SVC-ADMIN SER/INTERCAMPUS EX",2
23,600001,FD,"LIBRARY:ADM SVC-ADMIN SERV/FRIENDS",2
24,600001,GE,"LIBRARY:ADM SVC-ADMIN SERV/GENERAL",2
25,600001,HD,"LIBRARY:ADM SVC-ADMIN SERV/HOLD",2
26,600001,HP,"LIBRARY:ADM SVC-ADM SVC/UCLA HISTORY PRO",2
27,600001,ID,"ADM SVC-ADMIN SERV/IDEP 1.5",4
28,600001,IM,"LIBRARY:ADM SVC-ADMIN SERV/INST MEMBRSHP",2
29,600001,KN,"LIBRARY:ADM SVC-ADMIN SERV/KINROSS",2
30,600001,L1,"LIBRARY:ADM SVC-ADMIN SERV/LAUC 2",2
31,600001,LA,"LIBRARY:ADM SVC-ADMIN SERV/LAUC-LA",2
32,600001,LM,"LIBRARY:ADM SVC-ADMIN SER/LIB MATERIAL",2
33,600001,LS,"LIBRARY:ADM SVC-ADMIN SERV/LSA",2
34,600001,LT,"LIBRARY:ADM SVC-ADMIN SVCS/LIMIT CARDS",2
35,600001,MC,"LIBRARY:ADM SVC-ADM SVC/MGT CNCL-PD TRVL",2
36,600001,MG,"LIBRARY:ADM SVC-ADMIN SRV/MGMT LIB STUDY",2
37,600001,MS,"LIBRARY:ADM SVC-MURPHY SCLPTRE GRDN PROJ",2
